index,time_ns,time_us,phase,model_cycle,operation_cycle,clk,rstn,cmd,data_in,valid_out,data_out,state
124,250000,250.000,CFG_TOTAL_WRITE_READ,125,37,0,1,0,0xAA,0,0x23,WRITE_CFG_TOTAL
125,252000,252.000,CFG_TOTAL_WRITE_READ,126,38,0,1,0,0x55,0,0x24,WRITE_CFG_TOTAL
126,254000,254.000,CFG_TOTAL_WRITE_READ,127,39,0,1,0,0xAA,0,0x25,WRITE_CFG_TOTAL
127,256000,256.000,CFG_TOTAL_WRITE_READ,128,40,0,1,0,0x55,0,0x26,WRITE_CFG_TOTAL
128,258000,258.000,CFG_TOTAL_WRITE_READ,129,41,0,1,0,0xAA,0,0x27,WRITE_CFG_TOTAL
129,260000,260.000,CFG_TOTAL_WRITE_READ,130,42,0,1,0,0x55,0,0x28,WRITE_CFG_TOTAL
130,262000,262.000,CFG_TOTAL_WRITE_READ,131,43,0,1,0,0xAA,0,0x29,WRITE_CFG_TOTAL
131,264000,264.000,CFG_TOTAL_WRITE_READ,132,44,0,1,0,0x55,0,0x2A,WRITE_CFG_TOTAL
132,266000,266.000,CFG_TOTAL_WRITE_READ,133,45,0,1,0,0xAA,0,0x2B,WRITE_CFG_TOTAL
133,268000,268.000,CFG_TOTAL_WRITE_READ,134,46,0,1,0,0x55,0,0x2C,WRITE_CFG_TOTAL
134,270000,270.000,CFG_TOTAL_WRITE_READ,135,47,0,1,0,0x00,0,0x2C,WRITE_CFG_TOTAL
135,272000,272.000,CFG_TOTAL_WRITE_READ,136,0,0,1,0,0x00,0,0x00,IDLE
136,274000,274.000,CFG_TOTAL_WRITE_READ,137,0,0,1,0,0x00,0,0x00,IDLE
137,276000,276.000,CFG_TOTAL_WRITE_READ,138,0,0,1,0,0x00,0,0x00,IDLE
138,278000,278.000,CFG_TOTAL_WRITE_READ,139,0,0,1,0,0x00,0,0x00,IDLE
139,280000,280.000,CFG_TOTAL_WRITE_READ,140,0,0,1,0,0x00,0,0x00,IDLE
140,282000,282.000,CFG_TOTAL_WRITE_READ,141,0,0,1,0,0x00,0,0x00,IDLE
141,284000,284.000,CFG_TOTAL_WRITE_READ,142,0,0,1,1,0x0F,0,0x00,READ_CFG_MODE
142,286000,286.000,CFG_TOTAL_WRITE_READ,143,1,0,1,0,0x01,0,0xF0,READ_CFG_TOTAL
143,288000,288.000,CFG_TOTAL_WRITE_READ,144,2,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
144,290000,290.000,CFG_TOTAL_WRITE_READ,145,3,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
145,292000,292.000,CFG_TOTAL_WRITE_READ,146,4,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
146,294000,294.000,CFG_TOTAL_WRITE_READ,147,5,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
147,296000,296.000,CFG_TOTAL_WRITE_READ,148,6,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
148,298000,298.000,CFG_TOTAL_WRITE_READ,149,7,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
149,300000,300.000,CFG_TOTAL_WRITE_READ,150,8,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
150,302000,302.000,CFG_TOTAL_WRITE_READ,151,9,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
151,304000,304.000,CFG_TOTAL_WRITE_READ,152,10,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
152,306000,306.000,CFG_TOTAL_WRITE_READ,153,11,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
153,308000,308.000,CFG_TOTAL_WRITE_READ,154,12,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
154,310000,310.000,CFG_TOTAL_WRITE_READ,155,13,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
155,312000,312.000,CFG_TOTAL_WRITE_READ,156,14,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
156,314000,314.000,CFG_TOTAL_WRITE_READ,157,15,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
157,316000,316.000,CFG_TOTAL_WRITE_READ,158,16,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
158,318000,318.000,CFG_TOTAL_WRITE_READ,159,17,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
159,320000,320.000,CFG_TOTAL_WRITE_READ,160,18,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
160,322000,322.000,CFG_TOTAL_WRITE_READ,161,19,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
161,324000,324.000,CFG_TOTAL_WRITE_READ,162,20,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
162,326000,326.000,CFG_TOTAL_WRITE_READ,163,21,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
163,328000,328.000,CFG_TOTAL_WRITE_READ,164,22,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
164,330000,330.000,CFG_TOTAL_WRITE_READ,165,23,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
165,332000,332.000,CFG_TOTAL_WRITE_READ,166,24,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
166,334000,334.000,CFG_TOTAL_WRITE_READ,167,25,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
167,336000,336.000,CFG_TOTAL_WRITE_READ,168,26,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
168,338000,338.000,CFG_TOTAL_WRITE_READ,169,27,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
169,340000,340.000,CFG_TOTAL_WRITE_READ,170,28,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
170,342000,342.000,CFG_TOTAL_WRITE_READ,171,29,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
171,344000,344.000,CFG_TOTAL_WRITE_READ,172,30,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
172,346000,346.000,CFG_TOTAL_WRITE_READ,173,31,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
173,348000,348.000,CFG_TOTAL_WRITE_READ,174,32,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
174,350000,350.000,CFG_TOTAL_WRITE_READ,175,33,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
175,352000,352.000,CFG_TOTAL_WRITE_READ,176,34,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
176,354000,354.000,CFG_TOTAL_WRITE_READ,177,35,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
177,356000,356.000,CFG_TOTAL_WRITE_READ,178,36,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
178,358000,358.000,CFG_TOTAL_WRITE_READ,179,37,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
179,360000,360.000,CFG_TOTAL_WRITE_READ,180,38,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
180,362000,362.000,CFG_TOTAL_WRITE_READ,181,39,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
181,364000,364.000,CFG_TOTAL_WRITE_READ,182,40,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
182,366000,366.000,CFG_TOTAL_WRITE_READ,183,41,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
183,368000,368.000,CFG_TOTAL_WRITE_READ,184,42,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
184,370000,370.000,CFG_TOTAL_WRITE_READ,185,43,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
185,372000,372.000,CFG_TOTAL_WRITE_READ,186,44,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
186,374000,374.000,CFG_TOTAL_WRITE_READ,187,45,0,1,0,0x00,1,0xAA,READ_CFG_TOTAL
187,376000,376.000,CFG_TOTAL_WRITE_READ,188,46,0,1,0,0x00,1,0x55,READ_CFG_TOTAL
188,378000,378.000,CFG_TOTAL_WRITE_READ,189,47,0,1,0,0x00,0,0x55,READ_CFG_TOTAL
189,380000,380.000,CFG_TOTAL_WRITE_READ,190,0,0,1,0,0x00,0,0x00,IDLE
190,382000,382.000,CFG_TOTAL_WRITE_READ,191,0,0,1,0,0x00,0,0x00,IDLE
