index,time_ns,time_us,phase,model_cycle,operation_cycle,clk,rstn,cmd,data_in,valid_out,data_out,state
140,137000,137.000,CFG_SINGLE_WRITE_READ,69,0,1,1,1,0x0E,0,0x00,WRITE_CFG_MODE
141,138000,138.000,CFG_SINGLE_WRITE_READ,69,0,0,1,0,0x00,0,0x00,WRITE_CFG_MODE
142,139000,139.000,CFG_SINGLE_WRITE_READ,70,1,1,1,0,0x00,0,0xE0,WRITE_CFG_SINGLE_ADDR
143,140000,140.000,CFG_SINGLE_WRITE_READ,70,1,0,1,0,0x00,0,0xE0,WRITE_CFG_SINGLE_ADDR
144,141000,141.000,CFG_SINGLE_WRITE_READ,71,2,1,1,0,0x00,0,0xE1,WRITE_CFG_SINGLE_VALUE
145,142000,142.000,CFG_SINGLE_WRITE_READ,71,2,0,1,0,0x5A,0,0xE1,WRITE_CFG_SINGLE_VALUE
146,143000,143.000,CFG_SINGLE_WRITE_READ,72,3,1,1,0,0x5A,0,0xE2,WRITE_CFG_SINGLE_DONE
147,144000,144.000,CFG_SINGLE_WRITE_READ,72,3,0,1,0,0x00,0,0xE2,WRITE_CFG_SINGLE_DONE
148,145000,145.000,CFG_SINGLE_WRITE_READ,73,0,1,1,0,0x00,0,0x00,IDLE
149,146000,146.000,CFG_SINGLE_WRITE_READ,73,0,0,1,0,0x00,0,0x00,IDLE
150,147000,147.000,CFG_SINGLE_WRITE_READ,74,0,1,1,0,0x00,0,0x00,IDLE
151,148000,148.000,CFG_SINGLE_WRITE_READ,74,0,0,1,0,0x00,0,0x00,IDLE
152,149000,149.000,CFG_SINGLE_WRITE_READ,75,0,1,1,0,0x00,0,0x00,IDLE
153,150000,150.000,CFG_SINGLE_WRITE_READ,75,0,0,1,0,0x00,0,0x00,IDLE
154,151000,151.000,CFG_SINGLE_WRITE_READ,76,0,1,1,0,0x00,0,0x00,IDLE
155,152000,152.000,CFG_SINGLE_WRITE_READ,76,0,0,1,0,0x00,0,0x00,IDLE
156,153000,153.000,CFG_SINGLE_WRITE_READ,77,0,1,1,0,0x00,0,0x00,IDLE
157,154000,154.000,CFG_SINGLE_WRITE_READ,77,0,0,1,0,0x00,0,0x00,IDLE
158,155000,155.000,CFG_SINGLE_WRITE_READ,78,0,1,1,0,0x00,0,0x00,IDLE
159,156000,156.000,CFG_SINGLE_WRITE_READ,78,0,0,1,1,0x0F,0,0x00,IDLE
160,157000,157.000,CFG_SINGLE_WRITE_READ,79,0,1,1,1,0x0F,0,0x00,READ_CFG_MODE
161,158000,158.000,CFG_SINGLE_WRITE_READ,79,0,0,1,0,0x00,0,0x00,READ_CFG_MODE
162,159000,159.000,CFG_SINGLE_WRITE_READ,80,1,1,1,0,0x00,0,0xF0,READ_CFG_SINGLE_ADDR
163,160000,160.000,CFG_SINGLE_WRITE_READ,80,1,0,1,0,0x00,0,0xF0,READ_CFG_SINGLE_ADDR
164,161000,161.000,CFG_SINGLE_WRITE_READ,81,2,1,1,0,0x00,1,0x5A,READ_CFG_SINGLE_DONE
165,162000,162.000,CFG_SINGLE_WRITE_READ,81,2,0,1,0,0x00,1,0x5A,READ_CFG_SINGLE_DONE
166,163000,163.000,CFG_SINGLE_WRITE_READ,82,0,1,1,0,0x00,0,0x00,IDLE
167,164000,164.000,CFG_SINGLE_WRITE_READ,82,0,0,1,0,0x00,0,0x00,IDLE
168,165000,165.000,CFG_SINGLE_WRITE_READ,83,0,1,1,0,0x00,0,0x00,IDLE
169,166000,166.000,CFG_SINGLE_WRITE_READ,83,0,0,1,0,0x00,0,0x00,IDLE
170,167000,167.000,CFG_SINGLE_WRITE_READ,84,0,1,1,0,0x00,0,0x00,IDLE
171,168000,168.000,CFG_SINGLE_WRITE_READ,84,0,0,1,0,0x00,0,0x00,IDLE
172,168000,168.000,CFG_TOTAL_WRITE_READ,84,0,0,1,0,0x00,0,0x00,IDLE
173,169000,169.000,CFG_TOTAL_WRITE_READ,85,0,1,1,0,0x00,0,0x00,IDLE
174,170000,170.000,CFG_TOTAL_WRITE_READ,85,0,0,1,0,0x00,0,0x00,IDLE
